,generic,laundering
accessibility work,0.04977375565610862,0.0024390243902439016
accident,0.09049773755656111,0.03902439024390242
accuse,0.02941176470588236,0.24634146341463412
act,0.03393665158371042,0.12195121951219506
admit,0.006787330316742085,0.10243902439024388
advertise brand,0.04977375565610862,0.004878048780487803
advertisement continue,0.05203619909502264,0.0024390243902439016
afghan,0.01131221719457014,0.06585365853658534
alerts,0.22398190045248872,0.07317073170731705
allegation,0.02262443438914028,0.16829268292682925
allege,0.018099547511312212,0.34390243902439016
allege money,0.002262443438914028,0.07560975609756095
allegedly,0.009049773755656113,0.16097560975609745
allergy,0.08371040723981901,0.0024390243902439016
annual,0.1515837104072398,0.04146341463414633
appeal,0.056561085972850686,0.1804878048780488
area,0.32352941176470584,0.19268292682926821
around,0.2873303167420815,0.16829268292682925
arrest,0.03846153846153848,0.3926829268292682
assistant,0.018099547511312212,0.10975609756097555
attack,0.06108597285067875,0.1390243902439024
attorney,0.04524886877828055,0.2341463414634145
authority,0.08597285067873305,0.23658536585365844
average,0.21493212669683262,0.02682926829268292
bail,0.013574660633484172,0.1170731707317073
balance,0.165158371040724,0.03902439024390242
bank,0.27601809954751144,0.33902439024390224
banks,0.11085972850678734,0.02682926829268292
best,0.34162895927601816,0.21951219512195114
better,0.08371040723981901,0.021951219512195117
bill,0.2398190045248869,0.1268292682926829
bipartisan,0.06334841628959277,0.007317073170731707
blue,0.10407239819004528,0.01219512195121951
bond,0.16289592760181,0.04146341463414633
brand studio,0.04977375565610862,0.0024390243902439016
bribe,0.002262443438914028,0.07317073170731705
business,0.4841628959276018,0.6634146341463415
businessman,0.006787330316742085,0.09512195121951215
buying,0.12217194570135752,0.021951219512195117
capital,0.25791855203619923,0.10975609756097555
capitol,0.11312217194570137,0.034146341463414616
careers,0.4253393665158372,0.23170731707317063
case,0.2601809954751132,0.5878048780487801
cash back,0.07692307692307696,0.007317073170731707
center,0.2692307692307694,0.10731707317073165
chair,0.10859728506787336,0.04146341463414633
change,0.38461538461538486,0.18780487804878046
charge,0.14479638009049772,0.47317073170731694
choices,0.30090497737556565,0.060975609756097525
choices privacy,0.04977375565610862,0.0024390243902439016
civil,0.04751131221719458,0.13414634146341461
claimed,0.020361990950226252,0.1170731707317073
climate,0.2036199095022625,0.08048780487804875
cloud,0.14705882352941177,0.02682926829268292
cocaine,0.004524886877828056,0.07560975609756095
cold,0.12217194570135752,0.01219512195121951
comment,0.1493212669683258,0.30243902439024384
commit,0.04751131221719458,0.21951219512195114
compare,0.17647058823529416,0.03658536585365852
competitive,0.08823529411764706,0.009756097560975608
comply,0.004524886877828056,0.03902439024390242
conditions privacy,0.056561085972850686,0.13658536585365855
condo,0.11312217194570137,0.01951219512195121
condo collapse,0.10633484162895929,0.01219512195121951
congress,0.17647058823529416,0.12195121951219506
congressional,0.09502262443438918,0.014634146341463402
connection,0.054298642533936674,0.15365853658536577
conservative,0.054298642533936674,0.02682926829268292
conspiracy,0.018099547511312212,0.18292682926829257
conspiracy commit,0.002262443438914028,0.06829268292682923
consumer,0.24886877828054313,0.1170731707317073
contact accessibility,0.07466063348416292,0.009756097560975608
convict,0.01131221719457014,0.23170731707317063
